Fakhar Zaman,1,35,13,1600,45,2,56,6
Babar Azam,56,54,1,2500,50,0,56,6
Rizwan,23,40,7,1000,40,3,56,6
Muhammad Amir,05,22,2,363,61,180,56,6
Farhan Yousaf,07,60,3,2000,35,15,56,6
Hassan Ali,32,40,10,1000,30,45,56,6
Hafeez,08,35,11,500,25,12,56,6
Wasim Raja,15,50,5,2000,40,0,56,6
Zaheer Abbas,17,60,15,3000,50,5,56,6
Arbaz Ameer,33,25,18,590,30,234,56,6
Zain,99,100,26,5000,50,0,56,6
Virat Kohli,18,55,03,5000,70,5,56,6
Rohit Sharma,45,56,15,2500,50,0,56,6
Shikhar Dhawan,17,35,10,2000,35,0,56,6
Ajinka Rahana,28,25,18,2000,100,0,56,6
Kl Rahul,05,40,7,3300,90,0,56,6
Rishup ant,09,20,20,1000,25,0,56,6
Ravinder Judeja,18,30,10,1500,60,50,56,6
Ashwin,10,15,25,500,60,70,56,6
Muhammad Shami,25,10,23,200,70,80,56,6
B.Kumar,100,15,25,100,40,60,56,6
Ishant Sharma,50,5,35,50,60,65,56,6
Methewhayeden,27,40,21,5000,200,0,56,6
Adam,07,45,13,4000,150,0,56,6
Ricky Ponting,22,46,20,8000,175,0,56,6
Steve Waugh,45,30,17,5200,90,0,56,6
Mark Waugh,53,40,18,4000,120,0,56,6
Shane Whatson,77,35,27,4700,75,30,56,6
Shane Warn,32,25,45,500,200,400,56,6
Steve Smith,77,50,45,4200,250,250,56,6
Starc,14,15,50,700,40,16,56,6
Pat Commins,2,15,67,300,100,150,56,6
Lyan,3,16,34,100,50,200,56,6
G.Smith,29,35,10,5000,56,0,56,6
H.gibs,4,51,13,4000,50,0,56,6
A.B.Deviliers,17,31,4,2500,65,5,56,6
Hashim Amla,101,45,55,2000,65,0,56,6
J.p Domni,57,42,41,1000,25,10,56,6
Miler,66,29,45,500,100,0,56,6
Imran Tahir,74,20,100,100,100,50,56,6
Dalstayn,123,21.9,21,200,200,500,56,6
Shamsi,51,11,41,200,50,60,56,6
Morcal,2000,26,26,26,26,50,56,6
Ahmad Raza,786,100,01,10000,150,400,56,6
Kock,89,25,55,10000,200,0,56,6
Alex,51,55,20,6100,21,0,56,6
Joe Root,200,50,11,6200,150,50,56,6
Morgan,51,51,22,6300,62,0,56,6
Johnny sins,1,24,63,6500,50,150,56,6
JORDY,100,100,27,5000,100,153,56,6
Ben Stokes,63,40,14,4000,100,150,56,6
Moen Ali,666,10,34,2000,21,50,56,6
Adil Rasheed,5,15,39,500,150,200,56,6
Andreson,55,16,23,435,24,155,56,6
Broad,999,02,53,50,70,150,56,6
